FID,FID_04km_b,Lon04,Lat04,FID_44km,GroundMean04,AOD_Kriging04,RoadLength04,AOD_RF
3641,5324,126.6424304,45.80105405,36,20.31540302,0.513618424,353.6185305,0.48022513
3642,5325,126.6483447,45.80401906,36,20.31540302,0.513618424,781.5953782,0.48035333
3643,5326,126.6373536,45.80163959,36,20.31540302,0.513618424,33.66320477,0.48022513
3644,5327,126.647507,45.80046829,36,20.31540302,0.513618424,1135.428432,0.48035333
3645,5328,126.6466694,45.79691751,36,20.31540302,0.513618424,29.4865133,0.48039823
3646,5329,126.622959,45.80694575,36,20.31540302,0.513618424,1329.504869,0.48034776
3647,5330,126.6339504,45.80932662,36,20.31540302,0.513618424,1287.241583,0.4790756
3648,5331,126.6288728,45.80991176,36,20.31540302,0.513618424,1234.357474,0.47946815
3652,5335,126.6237952,45.81049667,36,20.31540302,0.513618424,1395.063971,0.47949801
3653,5336,126.6381907,45.80519042,36,20.31540302,0.513618424,448.6879048,0.48064519
3656,5339,126.6390278,45.80874125,36,20.31540302,0.513618424,287.141704,0.47928775
3657,5340,126.6280363,45.80636087,36,20.31540302,0.513618424,833.0765452,0.4803179
3658,5341,126.6331136,45.80577576,36,20.31540302,0.513618424,112.5819833,0.48043304
3659,5342,126.6441052,45.80815565,36,20.31540302,0.513618424,1233.8325,0.48082365
3660,5343,126.6432677,45.80460485,36,20.31540302,0.513618424,160.3732131,0.48022226
4671,6565,126.6458319,45.79336673,36,20.31540302,0.513618424,965.9223544,0.48135445
4736,6634,126.6467203,45.77502694,36,20.31540302,0.460420398,1834.21419,0.45052654
4907,6825,126.6517456,45.79633155,36,20.31540302,0.513618424,2081.87492,0.48039823
4911,6829,126.6525835,45.7998823,36,20.31540302,0.513618424,542.8898369,0.48035333
4915,6834,126.6534215,45.80343304,36,20.31540302,0.513618424,251.5957476,0.48035333
4918,6838,126.6542596,45.80698377,36,20.31540302,0.513618424,415.9393682,0.48077339
1356,2110,126.642587,45.73538226,47,20.31540302,0.431791918,3406.328325,0.42474113
