FID,FID_04km_b,Lon04,Lat04,FID_44km,GroundMean04,AOD_Kriging04,RoadLength04
1298,2051,126.5919466,45.71933836,14,22.94575646,0.460420398,1726.816228
1299,2052,126.5978497,45.7223058,14,21.56491593,0.460420398,2095.670352
1300,2053,126.5877097,45.72347296,14,22.94575646,0.460420398,188.7052716
1301,2054,126.5868769,45.7199218,14,22.94575646,0.460420398,1404.088828
1302,2055,126.5927797,45.72288949,14,22.94575646,0.460420398,1153.151052
1303,2057,126.6097219,45.70634928,14,19.18472755,0.460420398,6025.920175
1304,2058,126.588615,45.70513378,14,20.31540302,0.460420398,1262.990418
1305,2059,126.6046535,45.70693354,14,19.18472755,0.460420398,456.1908554
1306,2060,126.5936834,45.70455024,14,19.18472755,0.460420398,1368.426104
1307,2061,126.6054873,45.71048459,14,19.18472755,0.460420398,2491.626391
1308,2062,126.599585,45.70751756,14,20.31540302,0.460420398,526.979452
1309,2063,126.610556,45.70990031,14,19.18472755,0.460420398,6841.880295
1310,2064,126.6063212,45.71403565,14,20.31540302,0.460420398,3089.516255
1311,2065,126.6004185,45.71106865,14,20.31540302,0.460420398,678.8062552
1312,2066,126.6113902,45.71345133,14,19.18472755,0.460420398,5791.777993
1313,2067,126.6122245,45.71700235,14,20.31540302,0.460420398,2229.009513
1314,2068,126.6071551,45.71758669,14,20.31540302,0.460420398,1016.537431
1315,2069,126.6012521,45.71461973,14,20.31540302,0.460420398,644.6672109
1316,2070,126.6130589,45.72055335,14,20.31540302,0.460420398,1448.776523
1317,2071,126.6020857,45.71817081,14,21.56491593,0.460420398,739.7301052
1318,2072,126.6079892,45.72113773,14,20.31540302,0.460420398,1578.372648
1319,2073,126.6138934,45.72410436,14,20.31540302,0.460420398,1743.975389
1320,2074,126.6029195,45.72172188,14,21.56491593,0.460420398,2456.975996
1321,2075,126.6088878,45.70279825,14,19.18472755,0.460420398,4619.473986
1322,2076,126.577646,45.70274896,14,20.31540302,0.460420398,2106.021699
1323,2077,126.6038198,45.70338247,14,19.18472755,0.460420398,763.5728076
1324,2078,126.6257615,45.70814609,14,18.16158725,0.460420398,5347.954954
1325,2079,126.6147901,45.7057648,14,19.18472755,0.460420398,5855.256086
1326,2080,126.6206931,45.70873106,14,19.18472755,0.460420398,2222.246152
1327,2081,126.6265966,45.71169702,14,18.16158725,0.460420398,3898.988739
1328,2082,126.6164591,45.71286679,14,19.18472755,0.460420398,3063.272517
1329,2083,126.6156246,45.7093158,14,19.18472755,0.460420398,6410.349595
1330,2084,126.6215279,45.71228202,14,19.18472755,0.460420398,2517.886319
1331,2085,126.6299944,45.70401,14,18.16158725,0.460420398,2337.908491
1332,2086,126.6198583,45.70518009,14,18.16158725,0.460420398,5542.812345
1333,2087,126.6316652,45.7111118,14,18.16158725,0.460420398,1629.657003
1334,2088,126.635898,45.70697548,5,18.16158725,0.460420398,1740.67486
1335,2089,126.6249264,45.70459516,14,18.16158725,0.460420398,4619.161378
1336,2090,126.6367338,45.71052635,5,18.16158725,0.460420398,2014.411559
1337,2091,126.6308298,45.7075609,14,18.16158725,0.460420398,2363.817063
1338,2092,126.6409661,45.70638983,5,18.16158725,0.460420398,80.9257038
1339,2093,126.6375696,45.71407721,5,18.16158725,0.460420398,2249.418832
1340,2094,126.6418022,45.70994067,5,18.16158725,0.460420398,477.7430324
1341,2095,126.6282672,45.71879886,14,18.16158725,0.460420398,4272.495354
1342,2096,126.6172937,45.71641777,14,19.18472755,0.460420398,1969.155777
1343,2097,126.6231979,45.71938392,14,19.18472755,0.460420398,2921.490375
1344,2098,126.6291026,45.72234978,14,19.18472755,0.460420398,3511.769066
1345,2099,126.6189632,45.72351972,14,20.31540302,0.460420398,1247.285917
1346,2100,126.6181284,45.71996875,14,19.18472755,0.460420398,1247.308648
1347,2101,126.6325008,45.71466269,14,18.16158725,0.460420398,1841.633878
1348,2102,126.624033,45.72293486,14,19.18472755,0.460420398,1901.347585
1349,2103,126.6341722,45.72176446,14,18.16158725,0.460420398,3081.293839
1350,2104,126.6333365,45.71821358,14,18.16158725,0.460420398,1281.189045
1351,2105,126.6223628,45.71583297,14,19.18472755,0.460420398,2243.492176
1352,2106,126.6274319,45.71524795,14,18.16158725,0.460420398,4861.41572
1353,2107,126.6384056,45.71762807,5,18.16158725,0.460420398,2145.886264
