FID,FID_04km_b,Lon04,Lat04,FID_44km,GroundMean04,AOD_Kriging04,RoadLength04,AOD_RF
168,500,126.5162914,45.64050677,7,18.16158725,0.431791918,1826.911786,0.4228060200000002
169,503,126.5221822,45.64347791,7,18.16158725,0.431791918,2799.167688,0.4228060200000002
170,505,126.5230099,45.64702947,7,18.16158725,0.431791918,1622.929535,0.4219758400000003
171,506,126.5171187,45.64405838,7,18.16158725,0.431791918,565.7590164,0.4228060200000002
172,507,126.5272455,45.64289721,7,18.16158725,0.431791918,809.1957461,0.4228060200000002
173,508,126.5238378,45.65058104,7,18.16158725,0.431791918,189.6800747,0.4226308300000003
174,510,126.5280736,45.64644875,7,18.16158725,0.431791918,502.2287091,0.42123621000000033
175,511,126.5264175,45.63934566,7,18.16158725,0.431791918,1540.860778,0.4228060200000002
176,516,126.5254938,45.65768414,7,18.16158725,0.431791918,419.7478685,0.4226308300000003
177,517,126.650544,45.57032062,13,16.39797544,0.384397242,1668.889334,0.37964387999999966
178,518,126.5392951,45.5831629,3,18.16158725,0.431791918,322.4523732,0.4247021200000002
179,520,126.5494106,45.58199994,12,18.16158725,0.416385521,194.1817729,0.39488843999999984
180,521,126.5460138,45.58968862,3,18.16158725,0.431791918,251.6103081,0.4245703300000002
181,522,126.5401273,45.58671878,3,18.16158725,0.431791918,409.0636279,0.4247021200000002
182,524,126.5350691,45.58730017,3,18.16158725,0.431791918,405.6443196,0.4245703300000002
183,526,126.5451853,45.58613717,3,18.16158725,0.431791918,452.2355022,0.4247021200000002
184,528,126.5595257,45.58083608,12,18.16158725,0.40809458,1181.360053,0.3923498699999999
185,529,126.5645831,45.58025381,12,18.16158725,0.399803638,651.311178,0.3930599199999999
186,530,126.5603588,45.58439099,12,17.23575477,0.40809458,90.6239126,0.3934279999999999
187,532,126.5443529,45.58258153,3,18.16158725,0.431791918,440.6913883,0.4247021200000002
188,533,126.5654165,45.58380847,12,17.23575477,0.399803638,1587.304431,0.3930599199999999
189,534,126.5662463,45.5873598,12,17.23575477,0.399803638,760.0125486,0.39271160999999993
190,535,126.5561303,45.58852466,12,17.23575477,0.416385521,789.6051561,0.3947566499999999
191,536,126.551901,45.59265817,12,17.23575477,0.416385521,550.3010194,0.3947566499999999
192,537,126.5553011,45.58497328,12,17.23575477,0.416385521,594.0370278,0.39488843999999984
193,538,126.5502432,45.58555534,12,18.16158725,0.416385521,633.4568147,0.39488843999999984
194,539,126.5620179,45.59149369,12,17.23575477,0.399803638,432.9691047,0.39262916999999986
195,541,126.5510721,45.58910676,12,17.23575477,0.416385521,537.6376354,0.3947566499999999
196,542,126.5569595,45.59207604,12,17.23575477,0.416385521,176.4311109,0.3947566499999999
197,566,126.5527301,45.59620957,12,18.16158725,0.416385521,3.458137549,0.3948999799999999
198,579,126.5746976,45.57908859,12,17.23575477,0.384397242,846.157558,0.3787500499999996
199,580,126.5611883,45.58794234,12,17.23575477,0.40809458,460.3752769,0.39329620999999987
200,581,126.5696404,45.57967132,12,17.23575477,0.399803638,433.099916,0.3930599199999999
201,583,126.5898686,45.57733907,12,16.39797544,0.384397242,1169.764852,0.3787500499999996
202,584,126.5949254,45.57675544,12,16.39797544,0.384397242,1099.851157,0.3787500499999996
203,585,126.5907034,45.58089251,12,17.23575477,0.384397242,121.7135686,0.3790277899999996
204,586,126.5848117,45.57792247,12,16.39797544,0.384397242,853.5541281,0.3787500499999996
205,587,126.5957604,45.58030863,12,16.39797544,0.384397242,406.9448839,0.3787500499999996
206,588,126.5965921,45.58385978,12,17.23575477,0.384397242,684.5753386,0.3790277899999996
207,589,126.5704741,45.58322573,12,17.23575477,0.399803638,1058.829777,0.3930599199999999
208,590,126.5814196,45.58561081,12,17.23575477,0.384397242,845.5498639,0.37930735999999965
209,591,126.5713042,45.58677703,12,17.23575477,0.399803638,1217.315146,0.39284339999999995
210,592,126.5771925,45.58974529,12,17.23575477,0.384397242,1217.839377,0.3766183599999996
211,593,126.5721344,45.59032832,12,17.23575477,0.384397242,1744.745028,0.3766183599999996
212,594,126.5670762,45.59091112,12,17.23575477,0.399803638,1513.484225,0.39262916999999986
213,595,126.5856462,45.58147615,12,17.23575477,0.384397242,1597.22735,0.3790277899999996
214,596,126.5873084,45.58857856,12,17.23575477,0.384397242,987.7275068,0.3766183599999996
215,597,126.576362,45.58619403,12,17.23575477,0.384397242,3.377569782,0.37930735999999965
216,598,126.5864772,45.58502736,12,17.23575477,0.384397242,817.3188977,0.37930735999999965
217,599,126.5755315,45.58264277,12,17.23575477,0.384397242,907.7049603,0.3790277899999996
218,600,126.5805889,45.58205957,12,17.23575477,0.384397242,1492.666964,0.3790277899999996
219,601,126.5923662,45.58799485,12,17.23575477,0.384397242,1470.010375,0.3766183599999996
220,602,126.5881396,45.59212975,12,17.23575477,0.384397242,542.8866727,0.3765359199999996
221,603,126.5822505,45.58916204,12,17.23575477,0.384397242,1644.417739,0.3766183599999996
222,604,126.5948611,45.59864832,12,17.23575477,0.384397242,816.5293673,0.3765981199999996
223,605,126.595693,45.60219947,12,17.23575477,0.384397242,1566.716987,0.37601159999999956
224,607,126.5679062,45.59446243,12,17.23575477,0.399803638,104.0288529,0.39277249999999986
225,608,126.5788538,45.59684779,12,17.23575477,0.384397242,1048.775633,0.3765586299999996
226,609,126.5737951,45.59743088,12,17.23575477,0.384397242,423.198953,0.3765981199999996
227,610,126.5796846,45.60039904,12,17.23575477,0.384397242,471.0652152,0.37601159999999956
228,614,126.5830814,45.59271326,12,17.23575477,0.384397242,418.8116734,0.3765359199999996
229,615,126.5729647,45.5938796,12,17.23575477,0.384397242,533.149998,0.3765586299999996
230,616,126.5889709,45.59568094,12,17.23575477,0.384397242,513.7761761,0.3765586299999996
231,617,126.5780231,45.59329655,12,17.23575477,0.384397242,1582.821078,0.3765359199999996
