FID,FID_04km_b,Lon04,Lat04,FID_44km,GroundMean04,AOD_Kriging04,RoadLength04,AOD_RF,PM_RF
1163,1916,126.5505557,45.72044811,19,21.56491593,0.460420398,1649.579233,0.4523471,21.56491593
1164,1917,126.5286162,45.71567007,19,20.31540302,0.513618424,1638.134093,0.48412967,20.31540302
1165,1918,126.5294453,45.71922158,19,20.31540302,0.513618424,1562.656431,0.48412967,20.31540302
1166,1919,126.5235463,45.71625069,19,20.31540302,0.513618424,2016.193698,0.48489572,20.31540302
1167,1920,126.5345154,45.71864071,19,21.56491593,0.513618424,3317.190199,0.48412967,21.56491593
1168,1921,126.5353449,45.72219218,19,21.56491593,0.513618424,1969.017984,0.48412967,21.56491593
1169,1922,126.524375,45.71980223,19,20.31540302,0.513618424,708.5053047,0.48489572,20.31540302
1171,1924,126.5387558,45.71450816,19,21.56491593,0.460420398,2393.614198,0.45273956,21.56491593
1172,1925,126.5404152,45.72161105,19,21.56491593,0.513618424,1162.01185,0.48412967,21.56491593
1173,1926,126.5302744,45.72277309,19,21.56491593,0.513618424,1514.735789,0.48412967,21.56491593
1174,1927,126.5446554,45.71747828,19,21.56491593,0.460420398,909.9179072,0.4523471,21.56491593
1175,1928,126.533686,45.71508923,19,20.31540302,0.513618424,2356.381265,0.48412967,20.31540302
1176,1929,126.5488949,45.71334533,19,21.56491593,0.460420398,1222.466088,0.4523471,21.56491593
1177,1930,126.5395855,45.71805961,19,21.56491593,0.460420398,2153.135273,0.45273956,21.56491593
1178,1931,126.5454855,45.72102969,19,21.56491593,0.460420398,1135.90084,0.45244833,21.56491593
1179,1932,126.5497253,45.71689672,19,21.56491593,0.460420398,903.7130571,0.4523471,21.56491593
1180,1933,126.5514731,45.70210946,19,20.31540302,0.460420398,939.9839391,0.45214092,20.31540302
1181,1934,126.5582029,45.70863026,19,21.56491593,0.460420398,475.3698887,0.45279508,21.56491593
1182,1935,126.5472346,45.70624253,19,20.31540302,0.460420398,2491.337724,0.45279508,20.31540302
1183,1936,126.5573721,45.70507892,19,20.31540302,0.460420398,1099.179626,0.45279508,20.31540302
1184,1937,126.5464046,45.70269112,19,20.31540302,0.460420398,1524.338129,0.45214092,20.31540302
1185,1938,126.5683406,45.70746568,19,21.56491593,0.460420398,2182.767933,0.45515694,21.56491593
1186,1939,126.5590337,45.7121816,19,21.56491593,0.460420398,2716.677417,0.4523471,21.56491593
1187,1940,126.5531338,45.70921221,19,21.56491593,0.460420398,2424.082944,0.45279508,21.56491593
1188,1941,126.5657656,45.71870198,19,21.56491593,0.460420398,2538.037732,0.45457951,21.56491593
1189,1942,126.5665971,45.72225327,19,22.94575646,0.460420398,986.0354113,0.45468074,22.94575646
1190,1943,126.5598647,45.71573293,19,21.56491593,0.460420398,1823.181969,0.4523471,21.56491593
1191,1944,126.5539644,45.71276358,19,21.56491593,0.460420398,1449.926961,0.4523471,21.56491593
1192,1945,126.564103,45.71159939,19,21.56491593,0.460420398,902.717784,0.45336715,21.56491593
1193,1946,126.554795,45.71631494,19,21.56491593,0.460420398,1571.782649,0.4523471,21.56491593
1194,1947,126.5606957,45.71928425,19,21.56491593,0.460420398,1366.015542,0.45336715,21.56491593
1195,1948,126.5649342,45.71515069,19,21.56491593,0.460420398,1423.314184,0.45457951,21.56491593
1196,1949,126.5556257,45.71986629,19,21.56491593,0.460420398,579.4028248,0.4523471,21.56491593
1197,1950,126.5725777,45.70333179,19,20.31540302,0.460420398,1830.358961,0.4549178,20.31540302
1199,1952,126.5742412,45.71043429,19,21.56491593,0.460420398,2062.47493,0.45588575,21.56491593
1200,1953,126.5632718,45.70804808,19,21.56491593,0.460420398,1443.470694,0.45394458,21.56491593
1201,1954,126.5734094,45.70688304,19,21.56491593,0.460420398,1832.053107,0.45557196,21.56491593
1202,1955,126.5624407,45.70449677,19,20.31540302,0.460420398,1298.761446,0.45394458,20.31540302
1203,1956,126.5675092,45.70391439,19,20.31540302,0.460420398,1573.976716,0.45450278,20.31540302
1205,1958,126.5750731,45.71398553,19,21.56491593,0.460420398,1577.363087,0.45530832,21.56491593
1206,1959,126.5691721,45.71101695,19,21.56491593,0.460420398,1502.314999,0.45457951,21.56491593
1209,1962,126.5759051,45.71753676,19,22.94575646,0.460420398,1119.360669,0.45530832,22.94575646
1210,1963,126.5700037,45.71456822,19,21.56491593,0.460420398,1783.800214,0.45499453,21.56491593
1212,1965,126.5708354,45.71811949,19,22.94575646,0.460420398,1375.258097,0.45499453,22.94575646
1213,1966,126.5767372,45.72108799,19,22.94575646,0.460420398,1886.212696,0.45540955,22.94575646
1215,1968,126.5615269,45.72283557,19,22.94575646,0.460420398,967.3800092,0.45346838,22.94575646
1216,1969,126.5716672,45.72167074,19,22.94575646,0.460420398,2982.701788,0.45509576,22.94575646
1217,1970,126.572499,45.725222,19,22.94575646,0.460420398,953.4538654,0.45509576,22.94575646
1219,1972,126.5268618,45.73045682,19,20.31540302,0.513618424,1753.603699,0.48584997,20.31540302
1220,1973,126.5252039,45.72335377,19,20.31540302,0.513618424,1337.22967,0.48489572,20.31540302
1221,1974,126.5260328,45.7269053,19,20.31540302,0.513618424,910.3055894,0.48494794,20.31540302
1222,1975,126.531933,45.72987608,19,21.56491593,0.513618424,1424.770098,0.48474799,21.56491593
1223,1976,126.5327625,45.73342757,19,20.31540302,0.513618424,1685.928284,0.48508392,20.31540302
